"ecosystem","component","package","version","relationship","development_only","optional","licence_from_source","source_file","installation_path"
"npm","frontend","@img/sharp-linuxmusl-arm64","0.34.5","transitive","false","true","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@img/sharp-linuxmusl-arm64"
"npm","frontend","@img/sharp-linuxmusl-x64","0.34.5","transitive","false","true","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@img/sharp-linuxmusl-x64"
"npm","frontend","@img/sharp-wasm32","0.34.5","transitive","false","true","Apache-2.0 AND LGPL-3.0-or-later AND MIT","kubeview-frontend/package-lock.json","node_modules/@img/sharp-wasm32"
"npm","frontend","@img/sharp-win32-arm64","0.34.5","transitive","false","true","Apache-2.0 AND LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-win32-arm64"
"npm","frontend","@img/sharp-win32-ia32","0.34.5","transitive","false","true","Apache-2.0 AND LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-win32-ia32"
"npm","frontend","@img/sharp-win32-x64","0.34.5","transitive","false","true","Apache-2.0 AND LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-win32-x64"
"npm","frontend","@jridgewell/gen-mapping","0.3.13","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@jridgewell/gen-mapping"
"npm","frontend","@jridgewell/remapping","2.3.5","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@jridgewell/remapping"
"npm","frontend","@jridgewell/resolve-uri","3.1.2","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@jridgewell/resolve-uri"
"npm","frontend","@jridgewell/sourcemap-codec","1.5.5","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@jridgewell/sourcemap-codec"
"npm","frontend","@jridgewell/trace-mapping","0.3.31","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@jridgewell/trace-mapping"
"npm","frontend","@napi-rs/wasm-runtime","0.2.12","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@napi-rs/wasm-runtime"
"npm","frontend","@next/env","16.1.6","transitive","false","false","MIT","kubeview-frontend/package-lock.json","node_modules/@next/env"
"npm","frontend","@next/eslint-plugin-next","16.1.6","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@next/eslint-plugin-next"
"npm","frontend","@next/swc-darwin-arm64","16.1.6","transitive","false","true","MIT","kubeview-frontend/package-lock.json","node_modules/@next/swc-darwin-arm64"
"npm","frontend","@next/swc-darwin-x64","16.1.6","transitive","false","true","MIT","kubeview-frontend/package-lock.json","node_modules/@next/swc-darwin-x64"
"npm","frontend","@next/swc-linux-arm64-gnu","16.1.6","transitive","false","true","MIT","kubeview-frontend/package-lock.json","node_modules/@next/swc-linux-arm64-gnu"
"npm","frontend","@next/swc-linux-arm64-musl","16.1.6","transitive","false","true","MIT","kubeview-frontend/package-lock.json","node_modules/@next/swc-linux-arm64-musl"
"npm","frontend","@next/swc-linux-x64-gnu","16.1.6","transitive","false","true","MIT","kubeview-frontend/package-lock.json","node_modules/@next/swc-linux-x64-gnu"
"npm","frontend","@next/swc-linux-x64-musl","16.1.6","transitive","false","true","MIT","kubeview-frontend/package-lock.json","node_modules/@next/swc-linux-x64-musl"
"npm","frontend","@next/swc-win32-arm64-msvc","16.1.6","transitive","false","true","MIT","kubeview-frontend/package-lock.json","node_modules/@next/swc-win32-arm64-msvc"
"npm","frontend","@next/swc-win32-x64-msvc","16.1.6","transitive","false","true","MIT","kubeview-frontend/package-lock.json","node_modules/@next/swc-win32-x64-msvc"
"npm","frontend","@nodelib/fs.scandir","2.1.5","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@nodelib/fs.scandir"
"npm","frontend","@nodelib/fs.stat","2.0.5","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@nodelib/fs.stat"
"npm","frontend","@nodelib/fs.walk","1.2.8","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@nodelib/fs.walk"
"npm","frontend","@nolyfill/is-core-module","1.0.39","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@nolyfill/is-core-module"
"npm","frontend","@oxc-project/types","0.147.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@oxc-project/types"
"npm","frontend","@rolldown/binding-android-arm-eabi","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-android-arm-eabi"
"npm","frontend","@rolldown/binding-android-arm64","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-android-arm64"
"npm","frontend","@rolldown/binding-darwin-arm64","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-darwin-arm64"
"npm","frontend","@rolldown/binding-darwin-x64","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-darwin-x64"
"npm","frontend","@rolldown/binding-freebsd-x64","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-freebsd-x64"
"npm","frontend","@rolldown/binding-linux-arm-gnueabihf","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-linux-arm-gnueabihf"
"npm","frontend","@rolldown/binding-linux-arm64-gnu","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-linux-arm64-gnu"
"npm","frontend","@rolldown/binding-linux-arm64-musl","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-linux-arm64-musl"
"npm","frontend","@rolldown/binding-linux-ppc64-gnu","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-linux-ppc64-gnu"
"npm","frontend","@rolldown/binding-linux-s390x-gnu","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-linux-s390x-gnu"
"npm","frontend","@rolldown/binding-linux-x64-gnu","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-linux-x64-gnu"
"npm","frontend","@rolldown/binding-linux-x64-musl","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-linux-x64-musl"
"npm","frontend","@rolldown/binding-openharmony-arm64","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-openharmony-arm64"
"npm","frontend","@rolldown/binding-win32-arm64-msvc","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-win32-arm64-msvc"
"npm","frontend","@rolldown/binding-win32-x64-msvc","1.2.6","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/binding-win32-x64-msvc"
"npm","frontend","@rolldown/pluginutils","1.0.1","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@rolldown/pluginutils"
"npm","frontend","@rtsao/scc","1.1.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@rtsao/scc"
